date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03
2011-01-03 |
2011-01-03 - 7
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 | 5
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | 214748
2024-02-29 | 100
2023-02-29 | 50
2025-05-31 | 123.45   
2025-06-31 | 67.89      
2025-00-10 | 10            
2025-07-00 | 15              
2025-13-10 | 20               
2025-07-32 | 25              
abcd-ef-gh | 10               
2025-05-15 | -5             
2025-05-15 | 0              
